car_pos,target_pos,car_target_distance,car_quaternion,lidar_data,relative_coordinates,action
"[0.590159392227321, -0.006542182017458257]","[1.7186837428331163, -0.001855292791136165]",1.129,"[0.00023519752820070608, 0.999999972341061]","[2.303999900817871, 2.3320000171661377, 2.5920000076293945, 2.6559998989105225, 2.696000099182129, 1.4019999504089355, 1.7020000219345093, 1.7719999551773071, 1.6660000085830688, 2.055999994277954, 1.7999999523162842, 2.0959999561309814, 2.328000068664551, 2.4600000381469727, 4.168000221252441, 4.288000106811523, 3.8320000171661377, 0.8519999980926514, 3.747999906539917, 3.6760001182556152, 3.944000005722046, 1.8700000047683716, 1.8839999437332153, 1.3839999437332153, 1.406000018119812, 1.9600000381469727, 3.8359999656677246, 1.878000020980835, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 3.3359999656677246, inf, 3.5280001163482666, inf, 1.621999979019165, 1.722000002861023, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.432000160217285, 4.447999954223633, inf, 4.584000110626221, 4.696000099182129, 0.9319999814033508, 0.9079999923706055, 0.9160000085830688, 1.8799999952316284, 1.9839999675750732, 1.7940000295639038, inf, inf, inf, 2.74399995803833, 1.4500000476837158, 1.5920000076293945, 1.5479999780654907, 1.5180000066757202, 1.3339999914169312, 2.559999942779541, 2.555999994277954, 2.5239999294281006]","[1.129, 0.005]",2
"[0.5926049176923798, -0.006503206004602115]","[1.7186837428331163, -0.001855292791136165]",1.126,"[0.0005995995089585473, 0.9999998202401983]","[2.303999900817871, 2.3320000171661377, 2.5920000076293945, 2.6640000343322754, 2.696000099182129, 1.4119999408721924, 1.7000000476837158, 1.7860000133514404, 1.6679999828338623, 2.0339999198913574, 1.8320000171661377, 2.063999891281128, 2.308000087738037, 2.4560000896453857, 4.168000221252441, 4.28000020980835, 3.8359999656677246, inf, inf, 3.640000104904175, 3.944000005722046, 1.8700000047683716, 1.8799999952316284, 1.3839999437332153, 1.4079999923706055, 1.9600000381469727, 3.8359999656677246, 1.871999979019165, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 3.5320000648498535, inf, 1.621999979019165, 1.715999960899353, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.432000160217285, 4.455999851226807, inf, 4.576000213623047, 4.679999828338623, 0.8799999952316284, inf, 0.8980000019073486, 1.8760000467300415, 1.9839999675750732, 1.7940000295639038, inf, inf, 1.3459999561309814, 2.74399995803833, 1.4520000219345093, 1.5959999561309814, 1.5499999523162842, 1.5180000066757202, 1.4320000410079956, 2.2639999389648438, 2.555999994277954, 2.503999948501587]","[1.126, 0.005]",2
"[0.595443201447234, -0.006479805739482365]","[1.7186837428331163, -0.001855292791136165]",1.123,"[-6.726953723673316e-06, 0.9999999999773741]","[2.303999900817871, 2.3320000171661377, 2.5959999561309814, 2.6559998989105225, 2.696000099182129, 1.4160000085830688, 1.6979999542236328, inf, 1.6779999732971191, 2.052000045776367, 1.8320000171661377, 2.0880000591278076, 2.2839999198913574, 2.444000005722046, 4.176000118255615, 4.25600004196167, 3.8440001010894775, 0.8420000076293945, 3.759999990463257, 3.684000015258789, 3.947999954223633, 1.8700000047683716, 1.8799999952316284, 1.3860000371932983, 1.434000015258789, 1.9579999446868896, 3.8359999656677246, 1.8819999694824219, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 7.9039998054504395, inf, 3.072000026702881, 3.552000045776367, 1.8600000143051147, 1.6239999532699585, 1.722000002861023, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.432000160217285, 4.447999954223633, 4.263999938964844, 4.584000110626221, 4.696000099182129, 0.8460000157356262, 0.9160000085830688, 0.8820000290870667, 1.8739999532699585, 1.9800000190734863, 1.7999999523162842, inf, inf, 1.350000023841858, 2.747999906539917, 1.444000005722046, 1.593999981880188, 1.5499999523162842, 1.5180000066757202, 1.2920000553131104, 2.2920000553131104, 2.555999994277954, 2.5199999809265137]","[1.123, 0.005]",2
"[0.5967954827003265, -0.0064804418340328445]","[1.7186837428331163, -0.001855292791136165]",1.122,"[-0.0007664444918672092, 0.9999997062813774]","[2.312000036239624, 2.3320000171661377, 2.5920000076293945, 2.6679999828338623, 2.696000099182129, 1.4259999990463257, 1.7020000219345093, 1.777999997138977, 1.6740000247955322, 2.0399999618530273, 1.8179999589920044, 2.072000026702881, 2.308000087738037, 2.436000108718872, 4.168000221252441, 4.23199987411499, 3.864000082015991, 0.8460000157356262, inf, 3.640000104904175, 3.947999954223633, 1.8660000562667847, 1.878000020980835, 1.378000020980835, 1.4140000343322754, 1.9579999446868896, 3.8399999141693115, 2.0179998874664307, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 3.5280001163482666, inf, 1.6380000114440918, 1.7259999513626099, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.432000160217285, 4.447999954223633, 4.28000020980835, 4.584000110626221, 4.688000202178955, 0.8220000267028809, 0.8960000276565552, 0.871999979019165, 1.8739999532699585, 1.9780000448226929, 4.48799991607666, inf, inf, 1.3519999980926514, 2.74399995803833, 1.4420000314712524, 1.593999981880188, 1.5499999523162842, 1.5180000066757202, 1.340000033378601, 2.2639999389648438, 2.555999994277954, 2.7920000553131104]","[1.122, 0.005]",2
"[0.5985692051036178, -0.006489871849542268]","[1.7186837428331163, -0.001855292791136165]",1.12,"[-0.0017186503009308921, 0.999998523119481]","[2.308000087738037, 2.3320000171661377, 2.5920000076293945, 2.6600000858306885, 2.700000047683716, 1.4220000505447388, 1.7000000476837158, 1.7760000228881836, 1.684000015258789, 2.0380001068115234, 1.8320000171661377, 2.0759999752044678, 2.2920000553131104, 2.444000005722046, 4.168000221252441, 4.23199987411499, 3.8399999141693115, inf, inf, 3.6600000858306885, 3.947999954223633, 1.8700000047683716, 1.8799999952316284, 1.3839999437332153, 1.3880000114440918, 1.9579999446868896, 3.8480000495910645, 1.8899999856948853, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 3.5840001106262207, 1.8839999437332153, 1.6200000047683716, 1.7259999513626099, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.447999954223633, 4.415999889373779, 4.23199987411499, 4.584000110626221, inf, 0.7979999780654907, inf, 0.8619999885559082, 1.8760000467300415, 1.9800000190734863, 4.495999813079834, inf, inf, 1.3559999465942383, 2.74399995803833, 1.4240000247955322, 1.590000033378601, 1.5540000200271606, 1.5199999809265137, 1.312000036239624, 2.2880001068115234, 2.555999994277954, inf]","[1.12, 0.005]",2
"[0.6007657641322625, -0.006495970827750472]","[1.7186837428331163, -0.001855292791136165]",1.118,"[-0.0015991510077806932, 0.9999987213572097]","[2.312000036239624, 2.3320000171661377, 2.5959999561309814, 2.6640000343322754, 2.696000099182129, 1.4259999990463257, 1.6979999542236328, 1.7799999713897705, 1.684000015258789, 2.0420000553131104, 1.8259999752044678, 2.068000078201294, 2.2639999389648438, 2.4240000247955322, 4.168000221252441, 4.223999977111816, 3.864000082015991, inf, inf, 3.6440000534057617, 3.947999954223633, 1.8660000562667847, 1.8799999952316284, 1.3860000371932983, 1.4199999570846558, 1.9579999446868896, 3.8359999656677246, 2.0220000743865967, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 3.0959999561309814, inf, 1.8760000467300415, 1.6200000047683716, 1.7319999933242798, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.432000160217285, 4.447999954223633, 4.296000003814697, 4.584000110626221, 0.7940000295639038, 0.7739999890327454, 0.878000020980835, 0.8479999899864197, 1.8760000467300415, 1.9819999933242798, 4.48799991607666, inf, inf, 1.3539999723434448, 2.740000009536743, 1.440000057220459, 1.593999981880188, 1.555999994277954, 1.5199999809265137, 1.2920000553131104, 2.308000087738037, 2.555999994277954, 2.7360000610351562]","[1.118, 0.005]",2
"[0.6024135491654223, -0.006473331376954428]","[1.7186837428331163, -0.001855292791136165]",1.116,"[-0.001849068640484866, 0.9999982904711201]","[2.312000036239624, 2.328000068664551, 2.5959999561309814, 2.6600000858306885, 2.696000099182129, 1.4199999570846558, 1.6979999542236328, 1.7740000486373901, 1.684000015258789, 2.0460000038146973, 1.8259999752044678, 2.0759999752044678, 2.2679998874664307, 2.431999921798706, 4.168000221252441, 4.223999977111816, 3.859999895095825, 0.843999981880188, inf, 3.640000104904175, 3.947999954223633, 1.8660000562667847, 1.8819999694824219, 1.3860000371932983, 1.3899999856948853, 1.9600000381469727, 3.8359999656677246, 1.9119999408721924, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 3.0759999752044678, 3.5920000076293945, inf, 1.621999979019165, 1.7239999771118164, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.432000160217285, 4.480000019073486, 4.248000144958496, 4.576000213623047, 0.7720000147819519, 0.7599999904632568, 0.8640000224113464, 0.8399999737739563, 1.8739999532699585, 1.9800000190734863, 4.4720001220703125, inf, inf, 1.3539999723434448, 2.747999906539917, 1.4220000505447388, 1.5920000076293945, 1.555999994277954, 1.5219999551773071, 1.3040000200271606, 2.2679998874664307, 2.555999994277954, inf]","[1.116, 0.005]",2
"[0.6043482589285619, -0.006519826970933286]","[1.7186837428331163, -0.001855292791136165]",1.114,"[-0.0022438396231208423, 0.9999974825887041]","[2.308000087738037, 2.3320000171661377, 2.5920000076293945, 2.6559998989105225, 2.696000099182129, 1.434000015258789, 1.6979999542236328, 1.7699999809265137, 1.6820000410079956, 2.052000045776367, 1.8179999589920044, 1.8200000524520874, 2.2799999713897705, 2.444000005722046, 4.168000221252441, 4.23199987411499, 3.8559999465942383, inf, inf, 3.640000104904175, 3.947999954223633, 1.8700000047683716, 1.8819999694824219, 1.3839999437332153, 1.4179999828338623, 1.9600000381469727, 3.8359999656677246, 1.9119999408721924, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 3.0880000591278076, 3.5439999103546143, inf, 1.621999979019165, 1.7259999513626099, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.455999851226807, 4.415999889373779, 4.288000106811523, 4.576000213623047, 0.7860000133514404, 0.7820000052452087, 0.8519999980926514, 0.8420000076293945, 1.8680000305175781, 1.9800000190734863, 4.480000019073486, inf, inf, 1.3539999723434448, 2.74399995803833, 1.4259999990463257, 1.5920000076293945, 1.5499999523162842, 1.5199999809265137, 1.3200000524520874, 2.5799999237060547, 2.559999942779541, 2.572000026702881]","[1.114, 0.005]",2
"[0.606252978172411, -0.006497687089742496]","[1.7186837428331163, -0.001855292791136165]",1.112,"[-0.0018112500196634026, 0.9999983596853378]","[2.312000036239624, 2.3320000171661377, 2.5959999561309814, 2.6600000858306885, 2.700000047683716, 1.4259999990463257, 1.6959999799728394, 1.7740000486373901, 1.6859999895095825, 2.0439999103546143, 1.8220000267028809, 2.063999891281128, 2.2679998874664307, 2.427999973297119, 4.159999847412109, 4.216000080108643, 3.859999895095825, inf, inf, 3.684000015258789, 3.947999954223633, 1.871999979019165, 1.878000020980835, 1.3819999694824219, 1.4420000314712524, 1.9579999446868896, 3.8320000171661377, 1.8860000371932983, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 2.635999917984009, 7.783999919891357, inf, inf, 3.552000045776367, inf, 1.6239999532699585, 1.7239999771118164, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.432000160217285, 4.48799991607666, 4.28000020980835, 4.576000213623047, 0.8399999737739563, 0.828000009059906, 0.8579999804496765, 1.9199999570846558, 1.8739999532699585, 1.9700000286102295, 4.480000019073486, inf, inf, 1.3539999723434448, 2.747999906539917, 1.4259999990463257, 1.590000033378601, 1.5540000200271606, 1.5199999809265137, 1.2300000190734863, 2.2639999389648438, 2.555999994277954, 2.380000114440918]","[1.112, 0.005]",2
"[0.607862156780666, -0.006466167616840857]","[1.7186837428331163, -0.001855292791136165]",1.111,"[-0.0018177923926200894, 0.9999983478140438]","[2.312000036239624, 2.328000068664551, 2.5920000076293945, 2.6480000019073486, 2.696000099182129, 1.4279999732971191, 1.6959999799728394, 1.7740000486373901, 1.6859999895095825, 2.0460000038146973, 1.815999984741211, 2.0840001106262207, 2.2639999389648438, 2.4240000247955322, 4.208000183105469, 4.208000183105469, 3.859999895095825, 0.843999981880188, 3.75600004196167, 3.9519999027252197, 3.947999954223633, 1.8680000305175781, 1.8799999952316284, 1.3819999694824219, 1.4040000438690186, 1.9579999446868896, 3.8359999656677246, 2.002000093460083, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 3.0999999046325684, 3.552000045776367, inf, 1.621999979019165, 1.722000002861023, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.432000160217285, 4.48799991607666, 4.28000020980835, 4.576000213623047, 0.8759999871253967, 0.8579999804496765, 0.8820000290870667, 1.9240000247955322, 1.8739999532699585, 1.9780000448226929, 4.4720001220703125, inf, inf, 1.3539999723434448, 2.752000093460083, 1.4240000247955322, 1.5920000076293945, 1.5540000200271606, 1.5219999551773071, 1.305999994277954, 2.2679998874664307, 2.555999994277954, inf]","[1.111, 0.005]",2
"[0.6112532529722494, -0.006467017348214039]","[1.7186837428331163, -0.001855292791136165]",1.107,"[-0.004579488147651057, 0.9999895140891756]","[2.315999984741211, 2.328000068664551, 2.5920000076293945, 2.6559998989105225, 2.691999912261963, 1.4579999446868896, 1.690000057220459, 1.7740000486373901, 1.7020000219345093, inf, 1.8220000267028809, 1.7879999876022339, 2.2279999256134033, 2.4079999923706055, 4.223999977111816, 4.168000221252441, 3.875999927520752, inf, inf, 4.004000186920166, 3.9519999027252197, 1.8680000305175781, 1.8860000371932983, 1.3839999437332153, 1.565999984741211, 1.9579999446868896, 3.812000036239624, 1.8839999437332153, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.216000080108643, inf, inf, 3.5880000591278076, 4.671999931335449, inf, 1.6160000562667847, 1.7280000448226929, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.480000019073486, 4.311999797821045, 4.584000110626221, 4.688000202178955, 0.8920000195503235, 0.9179999828338623, 1.9579999446868896, 1.8680000305175781, 1.9639999866485596, 4.495999813079834, inf, inf, 1.3539999723434448, inf, 1.406000018119812, 1.593999981880188, 1.5579999685287476, 1.5240000486373901, 1.2280000448226929, 2.5999999046325684, 2.555999994277954, 2.7160000801086426]","[1.107, 0.005]",2
"[0.6132508851275151, -0.006480038804899638]","[1.7186837428331163, -0.001855292791136165]",1.105,"[-0.006877994188024498, 0.9999763463182264]","[2.315999984741211, 2.328000068664551, 2.5920000076293945, 2.6519999504089355, 2.691999912261963, 1.4739999771118164, 1.6959999799728394, 1.7640000581741333, 1.7079999446868896, 1.5880000591278076, 1.8279999494552612, 1.7960000038146973, 2.2160000801086426, 2.3959999084472656, 4.271999835968018, 4.159999847412109, 3.9040000438690186, inf, inf, 4.004000186920166, 3.9560000896453857, 1.8680000305175781, 1.8819999694824219, 1.3880000114440918, 1.559999942779541, 1.9579999446868896, 3.7880001068115234, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 3.5880000591278076, 4.656000137329102, inf, 1.6119999885559082, 1.7259999513626099, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.440000057220459, 4.447999954223633, 4.271999835968018, 4.584000110626221, 4.656000137329102, 0.9020000100135803, 0.9319999814033508, 1.9620000123977661, 1.8519999980926514, 1.9520000219345093, 4.51200008392334, inf, 0.7459999918937683, 1.3660000562667847, 1.3619999885559082, 1.3940000534057617, inf, 1.562000036239624, 1.527999997138977, inf, 2.5999999046325684, 2.555999994277954, 2.75600004196167]","[1.105, 0.005]",2
"[0.6160291116985992, -0.006500103168680884]","[1.7186837428331163, -0.001855292791136165]",1.103,"[-0.008231751090520949, 0.999966118563016]","[2.328000068664551, 2.3239998817443848, 2.5920000076293945, 2.6480000019073486, 2.687999963760376, 1.4739999771118164, 1.687999963760376, 1.7640000581741333, 1.7079999446868896, 1.5880000591278076, 1.840000033378601, 1.7899999618530273, 2.2160000801086426, 2.3919999599456787, 4.28000020980835, 4.1519999504089355, 3.875999927520752, inf, inf, 4.007999897003174, 3.9600000381469727, 1.8700000047683716, 1.8880000114440918, 1.3880000114440918, 1.562000036239624, 1.9559999704360962, 3.7839999198913574, 1.878000020980835, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 8.383999824523926, inf, 3.5480000972747803, 4.664000034332275, inf, 1.6080000400543213, 1.7259999513626099, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.447999954223633, 4.271999835968018, inf, 4.6479997634887695, 0.9240000247955322, 0.9599999785423279, 1.9259999990463257, 1.8519999980926514, 1.9500000476837158, 4.51200008392334, 1.5460000038146973, 0.7459999918937683, 1.3600000143051147, 1.3619999885559082, 1.3940000534057617, 1.5980000495910645, 1.562000036239624, 1.527999997138977, 1.2300000190734863, 2.5959999561309814, 2.559999942779541, 2.631999969482422]","[1.103, 0.005]",2
"[0.6170534991772215, -0.006544391345155773]","[1.7186837428331163, -0.001855292791136165]",1.102,"[-0.008293645992625737, 0.9999656071266396]","[2.319999933242798, 2.3239998817443848, 2.5880000591278076, 2.6480000019073486, 2.687999963760376, 1.4739999771118164, 1.6859999895095825, 1.7640000581741333, 1.7100000381469727, 1.590000033378601, 1.8320000171661377, 1.7940000295639038, 2.2200000286102295, 2.3919999599456787, 4.271999835968018, 4.136000156402588, 3.859999895095825, inf, inf, 4.015999794006348, 3.9600000381469727, 1.8700000047683716, 1.8880000114440918, 1.3880000114440918, 1.559999942779541, 1.9579999446868896, 3.8320000171661377, 1.8739999532699585, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.216000080108643, 8.088000297546387, inf, 3.5840001106262207, 4.6479997634887695, inf, 1.6160000562667847, 1.7100000381469727, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.447999954223633, 4.271999835968018, 4.584000110626221, 4.6479997634887695, 0.9380000233650208, 0.9700000286102295, 1.9299999475479126, 1.850000023841858, 1.9500000476837158, 4.519999980926514, inf, 0.7459999918937683, inf, 1.3619999885559082, 1.3919999599456787, 1.600000023841858, 1.565999984741211, 1.527999997138977, 1.2239999771118164, 2.5920000076293945, 2.559999942779541, 2.631999969482422]","[1.102, 0.005]",2
"[0.6188946646904185, -0.006563462618071258]","[1.7186837428331163, -0.001855292791136165]",1.1,"[-0.008229322594166427, 0.9999661385515217]","[2.3320000171661377, 2.3239998817443848, 2.5880000591278076, 2.6480000019073486, 2.687999963760376, 1.4739999771118164, 1.694000005722046, 1.7640000581741333, 1.7100000381469727, 1.590000033378601, 1.8320000171661377, 1.7960000038146973, 2.2160000801086426, 2.3919999599456787, 4.28000020980835, 4.136000156402588, 3.9079999923706055, inf, inf, 4.01200008392334, 3.9600000381469727, 1.8700000047683716, 1.8839999437332153, 1.3880000114440918, 1.559999942779541, 1.9579999446868896, 3.7920000553131104, 1.9819999933242798, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 3.5799999237060547, 4.6479997634887695, inf, 1.6119999885559082, 1.7120000123977661, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.447999954223633, 4.440000057220459, 4.271999835968018, 4.584000110626221, 4.639999866485596, 0.9559999704360962, 0.9760000109672546, inf, 1.8519999980926514, 1.9500000476837158, 4.519999980926514, inf, 0.7459999918937683, inf, 1.3619999885559082, 1.3919999599456787, inf, 1.565999984741211, 1.527999997138977, 1.2259999513626099, 2.5880000591278076, 2.559999942779541, 2.631999969482422]","[1.1, 0.005]",2
"[0.6202225410780728, -0.0065532536833516715]","[1.7186837428331163, -0.001855292791136165]",1.098,"[-0.007733512616803169, 0.9999700959441766]","[2.3239998817443848, 2.328000068664551, 2.5920000076293945, 2.6480000019073486, 2.687999963760376, 1.4759999513626099, 1.694000005722046, 1.7640000581741333, 1.7120000123977661, 1.590000033378601, 1.8320000171661377, 1.7960000038146973, 2.2160000801086426, 2.388000011444092, 4.28000020980835, 4.136000156402588, 3.9079999923706055, inf, inf, 4.01200008392334, 3.9600000381469727, 1.8700000047683716, 1.8839999437332153, 1.3880000114440918, 1.559999942779541, 1.9559999704360962, 3.7839999198913574, 1.9600000381469727, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 7.815999984741211, inf, 3.555999994277954, 4.6479997634887695, inf, 1.6200000047683716, 1.7319999933242798, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.440000057220459, 4.263999938964844, inf, 4.656000137329102, 0.9620000123977661, 0.949999988079071, 0.9580000042915344, 1.8580000400543213, 1.9539999961853027, 4.51200008392334, inf, 0.7480000257492065, inf, 1.3600000143051147, 1.3839999437332153, 1.5920000076293945, 1.562000036239624, 1.5299999713897705, 1.218000054359436, 2.5999999046325684, 2.555999994277954, 2.7320001125335693]","[1.098, 0.005]",2
"[0.6207030252145679, -0.0065726607999777404]","[1.7186837428331163, -0.001855292791136165]",1.098,"[-0.0077280999634716276, 0.9999701377896015]","[2.3239998817443848, 2.328000068664551, 2.5959999561309814, 2.6480000019073486, 2.684000015258789, 1.4639999866485596, 1.687999963760376, 1.7640000581741333, 1.7120000123977661, 1.590000033378601, 1.8359999656677246, 1.7920000553131104, 2.2360000610351562, 2.388000011444092, 4.28000020980835, 4.127999782562256, 3.859999895095825, inf, inf, 4.015999794006348, 3.9600000381469727, 1.8700000047683716, 1.8839999437332153, 1.3860000371932983, 1.5579999685287476, 1.9579999446868896, 3.7839999198913574, 1.9819999933242798, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 8.48799991607666, inf, 3.552000045776367, 4.6479997634887695, inf, 1.6160000562667847, 1.7300000190734863, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.440000057220459, 4.271999835968018, 4.584000110626221, 4.6479997634887695, 0.9599999785423279, 0.9480000138282776, 0.9580000042915344, 1.8580000400543213, 1.9520000219345093, 4.519999980926514, 1.496000051498413, 0.75, inf, 1.3760000467300415, 1.3839999437332153, 1.5759999752044678, 1.562000036239624, 1.5299999713897705, inf, 2.5999999046325684, 2.559999942779541, 2.7360000610351562]","[1.098, 0.005]",2
"[0.6218283522182573, -0.006586919578812506]","[1.7186837428331163, -0.001855292791136165]",1.097,"[-0.007452858484884244, 0.9999722270645341]","[2.328000068664551, 2.3239998817443848, 2.5920000076293945, 2.6480000019073486, 2.687999963760376, 1.468000054359436, 1.6859999895095825, 1.7619999647140503, 1.7200000286102295, inf, 1.8380000591278076, 1.7899999618530273, 2.2279999256134033, 2.380000114440918, 4.288000106811523, 4.119999885559082, 3.868000030517578, inf, inf, 4.01200008392334, 3.9560000896453857, 1.871999979019165, 1.8860000371932983, 1.3860000371932983, 1.5579999685287476, 1.9559999704360962, 3.815999984741211, 1.8839999437332153, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.216000080108643, 8.112000465393066, inf, 3.5799999237060547, 4.639999866485596, inf, 1.6080000400543213, 1.722000002861023, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.440000057220459, 4.271999835968018, 4.584000110626221, 4.6479997634887695, 0.9480000138282776, 0.9639999866485596, 0.9559999704360962, 1.8519999980926514, 1.9479999542236328, 4.51200008392334, 1.5420000553131104, 0.75, inf, 1.3639999628067017, 1.3940000534057617, 1.5959999561309814, 1.5640000104904175, 1.527999997138977, 1.2319999933242798, 2.5959999561309814, 2.559999942779541, 2.640000104904175]","[1.097, 0.005]",2
"[0.6235519257596888, -0.006596164399728603]","[1.7186837428331163, -0.001855292791136165]",1.095,"[-0.006929781678788546, 0.9999759887746726]","[2.328000068664551, 2.3239998817443848, 2.5920000076293945, 2.6480000019073486, 2.687999963760376, 1.472000002861023, 1.687999963760376, 1.7599999904632568, 1.7200000286102295, inf, 1.8339999914169312, 1.7899999618530273, 2.2239999771118164, 2.380000114440918, 4.288000106811523, 4.119999885559082, 3.880000114440918, inf, inf, 4.015999794006348, 3.9560000896453857, 1.871999979019165, 1.8919999599456787, 1.3919999599456787, 1.559999942779541, 1.9559999704360962, 3.808000087738037, 1.8839999437332153, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.223999977111816, 8.088000297546387, inf, 3.5799999237060547, 4.656000137329102, inf, 1.6119999885559082, 1.715999960899353, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.440000057220459, 4.271999835968018, inf, 4.6479997634887695, 0.9319999814033508, 0.9520000219345093, 0.9459999799728394, 1.8559999465942383, 1.9520000219345093, 4.535999774932861, 1.4980000257492065, 0.7480000257492065, inf, 1.3680000305175781, 1.3799999952316284, 1.600000023841858, 1.5640000104904175, 1.5299999713897705, 1.222000002861023, 2.5959999561309814, 2.559999942779541, 2.671999931335449]","[1.095, 0.005]",2
"[0.6266121397907511, -0.006607718445029832]","[1.7186837428331163, -0.001855292791136165]",1.092,"[-0.011177807061931203, 0.9999375263631655]","[2.3320000171661377, 2.3239998817443848, 2.631999969482422, 2.6440000534057617, 2.684000015258789, 1.5080000162124634, 1.690000057220459, 1.753999948501587, 1.74399995803833, 1.6059999465942383, 1.8179999589920044, 1.7940000295639038, 2.2079999446868896, 2.3480000495910645, 4.263999938964844, 4.0960001945495605, 3.880000114440918, inf, inf, 4.019999980926514, 3.9639999866485596, 1.8739999532699585, 1.9160000085830688, inf, 1.5880000591278076, 1.9500000476837158, 3.7960000038146973, 1.9620000123977661, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.223999977111816, 8.543999671936035, inf, 3.5840001106262207, 4.639999866485596, inf, 1.621999979019165, 1.5959999561309814, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.447999954223633, 4.263999938964844, 2.0420000553131104, 4.639999866485596, 0.906000018119812, 0.949999988079071, 0.9359999895095825, 1.843999981880188, 1.940000057220459, 4.552000045776367, 1.746000051498413, 0.7519999742507935, inf, 1.3539999723434448, 1.3739999532699585, inf, 1.5700000524520874, 1.534000039100647, 1.5099999904632568, 2.6040000915527344, 2.559999942779541, 2.6080000400543213]","[1.092, 0.005]",2
